Category,Year,nid,Winners,Image_URL,Caption
Feature Photography,2024,22525,Photography Staff of Associated Press,ap_migration_001_0.jpeg,"Migrants sit under a sign marking the Panama-Colombia border during their trek across the Darién Gap, Tuesday, May 9, 2023. (AP Photo/Ivan Valencia)"
Feature Photography,2024,22525,Photography Staff of Associated Press,ap_migration_002_0.jpeg,"Migrants planning to start walking across the Darién Gap from Colombia to Panama in hopes of reaching the U.S. gather at the trailhead camp in Acandi, Colombia, Tuesday, May 9, 2023. (AP Photo/Ivan Valencia)"
Feature Photography,2024,22525,Photography Staff of Associated Press,ap_migration_003_0_0.jpeg,"Haitian migrants wade through water as they cross the Darién Gap from Colombia to Panama in hopes of reaching the U.S., Tuesday, May 9, 2023. (AP Photo/Ivan Valencia)"
Feature Photography,2024,22525,Photography Staff of Associated Press,ap_migration_004_0.jpeg,"Migrants walk across the Darién Gap from Colombia to Panama in hopes of reaching the U.S., Tuesday, May 9, 2023. (AP Photo/Ivan Valencia)"
Feature Photography,2024,22525,Photography Staff of Associated Press,ap_migration_005_0.jpeg,"A Venezuelan migrant laughs as she jokes with her husband, who gave her a few flowers he picked in the grass, as they wait along the rail lines in hopes of boarding a freight train heading north in Huehuetoca, Mexico, Wednesday, Sept. 20, 2023. (AP Photo/Eduardo Verdugo)"
Feature Photography,2024,22525,Photography Staff of Associated Press,ap_migration_006_0.jpeg,"Migrants, mainly from Central America, who were traveling to the U.S. inside a tractor-trailer, are detained by Mexican immigration agents and National Guard members, in Veracruz, Mexico, Sunday, July 23, 2023. (AP Photo/Felix Marquez)"
Feature Photography,2024,22525,Photography Staff of Associated Press,ap_migration_007_0.jpeg,"Migrants travel inside train cars of a northbound freight train, in Irapuato, Mexico, Saturday, Sept. 23, 2023. (AP Photo/Marco Ugarte)"
Feature Photography,2024,22525,Photography Staff of Associated Press,ap_migration_008_0.jpeg,"A Venezuelan migrant stands covered in a wrap while texting, on the banks of the Rio Grande in Matamoros, Mexico, Saturday, May 13, 2023. (AP Photo/Fernando Llano)"
Feature Photography,2024,22525,Photography Staff of Associated Press,ap_migration_009_0.jpeg,"Migrants who crossed into the U.S. from Mexico pass under concertina wire along the Rio Grande river, Thursday, Sept. 21, 2023, in Eagle Pass, Texas. (AP Photo/Eric Gay)"
Feature Photography,2024,22525,Photography Staff of Associated Press,ap_migration_010.jpeg,"Migrants reach through a border wall for clothing handed out by volunteers as they wait between two border walls to apply for asylum Friday, May 12, 2023, in San Diego. Hundreds of migrants remain waiting between the two walls, many for days. (AP Photo/Gregory Bull)"
Feature Photography,2024,22525,Photography Staff of Associated Press,ap_migration_011.jpeg,"Migrants cross the Rio Bravo on an inflatable mattress into the United States from Matamoros, Mexico, on May 9, 2023. (AP Photo/Fernando Llano)"
Feature Photography,2024,22525,Photography Staff of Associated Press,ap_migration_012.jpeg,"A group of migrants sleep in a makeshift campsite as they wait to apply for asylum after crossing the border, Wednesday, May 10, 2023, near Jacumba, Calif. The group had been camping just across the border for days, waiting to apply for asylum in the United States. (AP Photo/Gregory Bull)"
Feature Photography,2024,22525,Photography Staff of Associated Press,ap_migration_013.jpeg,"Migrants cross the Rio Grande river into the United States from Ciudad Juarez, Mexico, Wednesday, March 29, 2023. (AP Photo/Christian Chavez)"
Feature Photography,2024,22525,Photography Staff of Associated Press,ap_migration_014.jpeg,"A woman carries her child after she and other migrants crossed the Rio Grande and entered the U.S. from Mexico, to be processed by U.S. Customs and Border Protection, Saturday, Sept. 23, 2023, in Eagle Pass, Texas. (AP Photo/Eric Gay)"
Feature Photography,2024,22525,Photography Staff of Associated Press,ap_migration_015_0.jpeg,"Venezuelan migrants wave a U.S. flag at a television helicopter that flew over the Rio Grande, in Matamoros, Mexico, Friday, May 12, 2023, a day after pandemic-related asylum restrictions called Title 42 were lifted. (AP Photo/Fernando Llano)"
Feature Photography,2023,22068,Christina House of the Los Angeles Times,pulitzers_963960_me_mckenzie_hollywoods_finest_cmh_001.jpeg,"Mckenzie Trahan, 22, stares off as her boyfriend Eddie, 26, rests his hand on her stomach near their tent in Hollywood. (Published on July 13, 2022.)"
